smiles,logBB
C1=CC(=CC=C1C(C#N)C2=C(C=C(C=C2Cl)N3C(=O)NC(=O)C=N3)Cl)Cl,-1.3
CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3CCC(=O)C3,-1.4
C[C@]12CC([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O,-0.18
CCNC1=C(N=CC=C1)N2CCN(CC2)C(=O)C3=CC4=C(N3)C=CC(=C4)OC,-0.01
CCCC(C)CC,0.9
C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@@H]([C@@H]2O)F)CCC4=C3C=CC(=C4)O,-0.3
CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2O)C4=CC=CC=C4F,-0.3
CCCC(C)C1(C(=O)NC(=O)NC1=O)CC,0.1
CC2/C=[N+](C1CC(N=[N+]=N)C(CO)O1)\C(=O)NC2=O,-0.05
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,0.0
C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,-1.7
COC1=C(C=C(C=C1)S(=O)(=O)NC2=C(C(=CC(=C2)Br)F)Br)N3CCNCC3,-0.52
CC1=CC(=CC=C1)C,0.2
C1C[C@@H]2NS(=O)(=O)C3=CC=CC=C3N2C1,-0.6
O=C1C2=C(C(O)=C(/C=N/N3CCN(C)CC3)C(NC(C/C(C)=C\C=C\[C@@H](C)C4O)=O)=C5O)C5=C(O)C(C)=C2O[C@]1(C)O/C=C/[C@@H]([C@H]([C@H]([C@H]([C@H]([C@@H]4C)O)C)OC(C)=O)C)OC,-1.52
CC(C)C(CCCNCCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,-0.64
CC1=NC(=C(C(=O)N1CC(F)(F)F)C#N)N2CCC3=CC=CC=C3CC2,0.6
CCCC(C)C1(C(=O)NC(=O)NC1=O)CC=C,0.2
CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,-0.3
COC1=CC2=C(C=C1CNC3CCCNC3C4=CC=CC=C4)N=C(S2)C5CC5,0.62
CC(C)(C)OC(=O)C1=C2[C@@H]3CCCN3C(=O)C4=C(N2C=N1)C=CC=C4Br,-0.09
CCCCCCCCC1(C(=O)NC(=O)NC1=O)CC,0.24
CC(C)C1=CC=C(SCCCC2CCN2C)C=C1,1.7
CCN(C)C(=O)OC1=CC=CC(=C1)[C@H](C)N(C)C,0.88
CN(C)CCCN1C2=CC=CC=C2CC3=CC=CC=C31,0.83
CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,0.99
CN1CCN(CC1)C2=C(C=C3C(=C2F)N(C=C(C3=O)C(=O)O)CCF)F,-0.43
CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,-0.12
COC1=C(C=C(C=C1)OC(F)(F)F)CN[C@H]2CCCN[C@@H]2C3=CC=CC=C3,1.11
C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O,-0.8
CC(C)OC1=C(C=C(C=C1)OC(F)(F)F)CNC2CCCNC2C3=CC=CC=C3,0.41
CCC(C)(C)C,1.0
CCN(CCC#N)C1=CC=CC=C1,0.42
CC1=CC=CC=C1,0.4
CC(Cl)Cl,-0.28
O=C1N2C(c3nc4cc(O)c(CN(C)C)cc4cc3C2)=CC5=C1COC([S@]5(O)CC)=O,-0.42
CC(C)(C)OC(=O)C1=C2C3CCCN3C(=O)C4=C(N2C=N1)C=CC=C4Br,-0.09
C1C2CNCC1C3=CC=C(C(=O)N3C2)Br,-0.05
CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2CCOC2)O)S(=O)(=O)C3=CC=C(C=C3)N,-0.56
CC(C)C(CO)NC1=CC(=NC2=C(C(=NN12)NC3=CC(=CC(=C3)OC)OC)C(=O)N)C4CC4,-0.39
C1=CC(=C(C=C1C2=CSC(=N2)N=C(N)N)O)O,-1.54
CN1CCCC[C@@H]1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC,0.24
CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,0.0
CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,1.04
CC1=C(C=CC=C1O)C(=O)NC(CSC2=CC=CC=C2)C(CN3CC4CCCCC4CC3C(=O)NC(C)(C)C)O,-0.93
CC[C@@]1(C[C@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,-0.07
C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,0.1
CC[CH]C(=C)CC,0.9
CC1=CC=C(C=C1)CN2C3=CC=CC=C3N=C2[C@H]4CNCCO4,0.36
CC1=C(N=C(C(=N1)C)C)C,-0.1
CC1(CN(C(=O)NC1=O)C)C2=CCCCC2,0.1
C1=CC=CC=C1,0.4
CCC1=CC=CC=C1,0.2
C1CCC(CC1)NC(=S)N2CCC(CC2)C3=CN=CN3,-0.2
C1=CN(C(=N1)[N+](=O)[O-])CC(COCF)O,-0.01
C(Cl)(Cl)Cl,0.3
CCCOC(=O)C1=CC=C(C=C1)N,0.55
CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,0.39
CC1=C(C(=O)N2C=CSC2=N1)CCN3CCC(=C(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F)CC3,0.3
COC1=C(C=C(C=C1)OC(F)(F)F)CN[C@H]2CCCN[C@H]2C3=CC=CC=C3,1.11
CC(=O)OC1=CC=CC=C1C(=O)[O-],-0.5
CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4,0.77
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,0.85
CN1CC[C@@]23CCCC[C@@H]2[C@@H]1CC4=C3C=C(C=C4)OC,0.02
NC(=O)[C@H]1C2=CC=CC=C2[C@H]2O[C@H]2C2=C1C=CC=C2,-0.34
[C@]23([C@]1([C@H](OC1)C[C@@H]([C@@]2(C([C@H](OC(C)=O)C=2C([C@]([C@@H]3OC(c1ccccc1)=O)(C[C@H](OC([C@H]([C@@H](c1ccccc1)NC(c1ccc(cc1)F)=O)O)=O)C2C)O)(C)C)=O)C)O)OC(C)=O)[H],0.19
CN(C)Cc1ccc(o1)SCCNc2c(N(=O)=O)cc[nH]2,-1.12
C1CCN(CC1)CC2=CC(=CC=C2)OCCCNC3=NC4=CC=CC=C4S3,0.1
C[C@](C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C,0.64
CC1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)C)CC(=O)N(C)C,-0.48
C1CN(CCC1COC2=CC=C(C=C2)C#N)C/C=C/I,1.13
